lat,lon,crs,tas_anom
-89.5,-29.5,b'',6.3386097
-89.5,-28.5,b'',6.341109
-89.5,-27.5,b'',6.337792
-89.5,-26.5,b'',6.3363624
-89.5,-25.5,b'',6.3378735
-89.5,-24.5,b'',6.3396583
-89.5,-23.5,b'',6.339086
-89.5,-22.5,b'',6.3381133
-89.5,-21.5,b'',6.341358
-89.5,-20.5,b'',6.3445635
-89.5,-19.5,b'',6.342267
-89.5,-18.5,b'',6.33898
-89.5,-17.5,b'',6.347673
-89.5,-16.5,b'',6.3459954
-89.5,-15.5,b'',6.3506055
-89.5,-14.5,b'',6.351641
-89.5,-13.5,b'',6.3491797
-89.5,-12.5,b'',6.352839
-89.5,-11.5,b'',6.355436
-89.5,-10.5,b'',6.35277
-89.5,-9.5,b'',6.3496327
-89.5,-8.5,b'',6.347747
-89.5,-7.5,b'',6.3504243
-89.5,-6.5,b'',6.34945
-89.5,-5.5,b'',6.348402
-89.5,-4.5,b'',6.3498697
-89.5,-3.5,b'',6.351739
-89.5,-2.5,b'',6.3554
-89.5,-1.5,b'',6.3579407
-89.5,-0.5,b'',6.357155
-89.5,0.5,b'',6.358822
-89.5,1.5,b'',6.366763
-89.5,2.5,b'',6.366866
-89.5,3.5,b'',6.364634
-89.5,4.5,b'',6.3626485
-89.5,5.5,b'',6.3607836
-89.5,6.5,b'',6.3583107
-89.5,7.5,b'',6.3629365
-89.5,8.5,b'',6.3665023
-89.5,9.5,b'',6.3699484
-89.5,10.5,b'',6.3719373
-89.5,11.5,b'',6.3698273
-89.5,12.5,b'',6.364498
-89.5,13.5,b'',6.3721204
-89.5,14.5,b'',6.369449
-89.5,15.5,b'',6.3723288
-89.5,16.5,b'',6.3807487
-89.5,17.5,b'',6.3774943
-89.5,18.5,b'',6.3815827
-89.5,19.5,b'',6.3809533
-89.5,20.5,b'',6.3790526
-89.5,21.5,b'',6.380531
-89.5,22.5,b'',6.387157
-89.5,23.5,b'',6.3835235
-89.5,24.5,b'',6.3812103
-89.5,25.5,b'',6.3843236
-89.5,26.5,b'',6.390969
-89.5,27.5,b'',6.385379
-89.5,28.5,b'',6.3881216
-89.5,29.5,b'',6.390576
-89.5,30.5,b'',6.3917685
-89.5,31.5,b'',6.391964
-89.5,32.5,b'',6.3942947
-89.5,33.5,b'',6.3884883
-89.5,34.5,b'',6.3871694
-89.5,35.5,b'',6.390738
-89.5,36.5,b'',6.3950176
-89.5,37.5,b'',6.3950815
-89.5,38.5,b'',6.3994827
-89.5,39.5,b'',6.4006076
-89.5,40.5,b'',6.4029775
-89.5,41.5,b'',6.406252
-89.5,42.5,b'',6.4068923
-89.5,43.5,b'',6.4043593
-89.5,44.5,b'',6.409054
-89.5,45.5,b'',6.412218
-89.5,46.5,b'',6.416623
